"","Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"78",2018-08-24,"AQS",370110002,1,5,"ug/m3 LC",21,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"79",2018-08-27,"AQS",370110002,1,10.7,"ug/m3 LC",45,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"80",2018-08-30,"AQS",370110002,1,6.4,"ug/m3 LC",27,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"81",2018-09-02,"AQS",370110002,1,5.8,"ug/m3 LC",24,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"82",2018-09-05,"AQS",370110002,1,6.9,"ug/m3 LC",29,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"83",2018-09-08,"AQS",370110002,1,7.6,"ug/m3 LC",32,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"84",2018-09-11,"AQS",370110002,1,5.2,"ug/m3 LC",22,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"85",2018-09-14,"AQS",370110002,1,2.2,"ug/m3 LC",9,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"86",2018-09-17,"AQS",370110002,1,0.8,"ug/m3 LC",3,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"87",2018-09-20,"AQS",370110002,1,8.3,"ug/m3 LC",35,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"88",2018-09-23,"AQS",370110002,1,7.3,"ug/m3 LC",30,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
